epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.514,1.84339,4.00756,1.82114,0.00476,0.0034,0.00321,0.00204,nan,nan,nan,0.000158118,0.000158118,0.000158118
2,284.904,1.79892,3.14046,1.7762,0.00479,0.005,0.00366,0.00201,nan,nan,nan,0.000310512,0.000310512,0.000310512
3,426.424,1.78655,2.91035,1.77143,0.00738,0.005,0.00556,0.00318,nan,nan,nan,0.000456623,0.000456623,0.000456623
4,567.416,1.7661,2.75275,1.74228,0.53519,0.00308,0.00389,0.00257,nan,nan,nan,0.000447726,0.000447726,0.000447726
5,707.006,1.73088,2.63419,1.72362,0.58842,0.0034,0.00442,0.00256,nan,nan,nan,0.000438301,0.000438301,0.000438301
6,845.342,1.73471,2.57574,1.696,0.6191,0.00308,0.00669,0.00376,nan,nan,nan,0.000428876,0.000428876,0.000428876
7,982.543,1.69252,2.45859,1.67616,0.45526,0.00277,0.0055,0.00341,nan,nan,nan,0.000419451,0.000419451,0.000419451
8,1119.11,1.68874,2.40662,1.65908,0.01084,0.005,0.00753,0.00459,nan,nan,nan,0.000410026,0.000410026,0.000410026
9,1256.03,1.66512,2.34542,1.64944,0.53549,0.0034,0.00703,0.00469,nan,nan,nan,0.000400602,0.000400602,0.000400602
10,1393.59,1.65702,2.26464,1.63476,0.5741,0.004,0.00764,0.00514,nan,nan,nan,0.000391177,0.000391177,0.000391177
11,1531.59,1.64457,2.23696,1.62211,0.50189,0.00468,0.00636,0.00423,nan,nan,nan,0.000381752,0.000381752,0.000381752
12,1668.54,1.60843,2.17684,1.60245,0.56589,0.00444,0.00663,0.00458,nan,nan,nan,0.000372327,0.000372327,0.000372327
13,1806.17,1.59984,2.11291,1.58853,0.63479,0.004,0.00791,0.00515,nan,nan,nan,0.000362902,0.000362902,0.000362902
14,1944.25,1.60193,2.08472,1.59004,0.60768,0.004,0.00822,0.0057,nan,nan,nan,0.000353478,0.000353478,0.000353478
15,2082.22,1.60309,2.07593,1.59399,0.67236,0.00422,0.00759,0.00531,nan,nan,nan,0.000344053,0.000344053,0.000344053
16,2221.54,1.5764,2.0012,1.56615,0.70818,0.00444,0.00842,0.00507,nan,nan,nan,0.000334628,0.000334628,0.000334628
17,2360.67,1.5802,1.99518,1.56589,0.38911,0.005,0.00854,0.00546,nan,nan,nan,0.000325203,0.000325203,0.000325203
18,2498.53,1.56128,1.92455,1.54887,0.53186,0.00444,0.00869,0.00547,nan,nan,nan,0.000315778,0.000315778,0.000315778
19,2636.73,1.53979,1.91198,1.5431,0.6638,0.005,0.00922,0.0052,nan,nan,nan,0.000306354,0.000306354,0.000306354
20,2776.26,1.54318,1.88078,1.53498,0.70752,0.00444,0.00702,0.00395,nan,nan,nan,0.000296929,0.000296929,0.000296929
21,2916.7,1.54493,1.83977,1.5396,0.49952,0.00467,0.00977,0.0056,nan,nan,nan,0.000287504,0.000287504,0.000287504
22,3057.87,1.54177,1.85646,1.52459,0.48997,0.005,0.00839,0.00466,nan,nan,nan,0.000278079,0.000278079,0.000278079
23,3199.22,1.50893,1.79424,1.50933,0.64883,0.00444,0.01205,0.00795,nan,nan,nan,0.000268654,0.000268654,0.000268654
24,3340.85,1.50104,1.75226,1.50394,0.63379,0.00444,0.00787,0.00465,nan,nan,nan,0.00025923,0.00025923,0.00025923
25,3480.11,1.47886,1.7417,1.48844,0.55995,0.00444,0.01008,0.00626,nan,nan,nan,0.000249805,0.000249805,0.000249805
26,3618,1.49504,1.75561,1.4907,0.68374,0.00444,0.00958,0.00612,nan,nan,nan,0.00024038,0.00024038,0.00024038
27,3757.8,1.4874,1.71379,1.48526,0.57449,0.00444,0.01057,0.00643,nan,nan,nan,0.000230955,0.000230955,0.000230955
28,3896.45,1.47622,1.69399,1.48539,0.55162,0.00419,0.00996,0.00629,nan,nan,nan,0.00022153,0.00022153,0.00022153
29,4035.39,1.45789,1.64647,1.46155,0.49616,0.00407,0.00953,0.00603,nan,nan,nan,0.000212106,0.000212106,0.000212106
30,4175.04,1.45651,1.65523,1.46678,0.53088,0.00444,0.01248,0.00686,nan,nan,nan,0.000202681,0.000202681,0.000202681
31,4314.11,1.45289,1.61959,1.45661,0.35507,0.005,0.01106,0.00601,nan,nan,nan,0.000193256,0.000193256,0.000193256
32,4453.22,1.43743,1.6088,1.45219,0.65415,0.00444,0.0119,0.00661,nan,nan,nan,0.000183831,0.000183831,0.000183831
33,4593.6,1.42715,1.58892,1.44335,0.69529,0.00444,0.01009,0.00597,nan,nan,nan,0.000174406,0.000174406,0.000174406
34,4733.86,1.41093,1.54987,1.42657,0.57173,0.00444,0.01113,0.00635,nan,nan,nan,0.000164982,0.000164982,0.000164982
35,4874.97,1.39899,1.5337,1.41776,0.01702,0.005,0.01123,0.00716,nan,nan,nan,0.000155557,0.000155557,0.000155557
36,5015.39,1.39381,1.51973,1.41551,0.46763,0.00444,0.01266,0.00695,nan,nan,nan,0.000146132,0.000146132,0.000146132
37,5155.41,1.38453,1.48739,1.40901,0.48498,0.00444,0.013,0.00744,nan,nan,nan,0.000136707,0.000136707,0.000136707
38,5294.23,1.37408,1.48232,1.40436,0.48568,0.00444,0.01462,0.00896,nan,nan,nan,0.000127282,0.000127282,0.000127282
39,5433.37,1.38633,1.47161,1.39859,0.1825,0.005,0.01192,0.00742,nan,nan,nan,0.000117858,0.000117858,0.000117858
40,5571.85,1.35694,1.45415,1.39126,0.33952,0.005,0.01313,0.00802,nan,nan,nan,0.000108433,0.000108433,0.000108433
41,5709.7,1.39588,1.33789,1.43194,0.61921,0.00497,0.01161,0.00701,nan,nan,nan,9.9008e-05,9.9008e-05,9.9008e-05
42,5847.57,1.35409,1.25092,1.41097,0.58447,0.005,0.01209,0.00678,nan,nan,nan,8.95832e-05,8.95832e-05,8.95832e-05
43,5985.48,1.33364,1.20978,1.39283,0.47353,0.005,0.01258,0.00681,nan,nan,nan,8.01584e-05,8.01584e-05,8.01584e-05
44,6123.88,1.30425,1.16257,1.37396,0.01927,0.005,0.01282,0.00742,nan,nan,nan,7.07336e-05,7.07336e-05,7.07336e-05
45,6263.78,1.30035,1.1629,1.37223,0.52019,0.00449,0.01346,0.00839,nan,nan,nan,6.13088e-05,6.13088e-05,6.13088e-05
46,6403.32,1.28831,1.14578,1.36525,0.4702,0.005,0.01347,0.0079,nan,nan,nan,5.1884e-05,5.1884e-05,5.1884e-05
47,6543.64,1.27104,1.11371,1.34568,0.02334,0.005,0.01478,0.00851,nan,nan,nan,4.24592e-05,4.24592e-05,4.24592e-05
48,6682.79,1.26002,1.09971,1.34025,0.02241,0.005,0.01429,0.00813,nan,nan,nan,3.30344e-05,3.30344e-05,3.30344e-05
49,6820.16,1.25799,1.088,1.33954,0.02098,0.005,0.01358,0.00793,nan,nan,nan,2.36096e-05,2.36096e-05,2.36096e-05
50,6957.79,1.25631,1.08222,1.33681,0.02137,0.005,0.01377,0.00783,nan,nan,nan,1.41848e-05,1.41848e-05,1.41848e-05
